Date,Visitor,PTS,Home,PTS
2022-01-04,MEM,110,CLE,106
2022-01-04,SAS,104,TOR,129
2022-01-04,IND,94,NYK,104
2022-01-04,PHX,123,NOP,110
2022-01-04,SAC,114,LAL,122
2022-01-05,DET,111,CHA,140
2022-01-05,PHI,116,ORL,106
2022-01-05,HOU,114,WAS,111
2022-01-05,SAS,99,BOS,97
2022-01-05,GSW,82,DAL,99
2022-01-05,BKN,129,IND,121
2022-01-05,TOR,117,MIL,111
2022-01-05,OKC,90,MIN,98
2022-01-05,UTA,115,DEN,109
2022-01-05,MIA,115,POR,109
2022-01-05,ATL,108,SAC,102
2022-01-06,BOS,105,NYK,108
2022-01-06,DET,88,MEM,118
2022-01-06,GSW,96,NOP,101
2022-01-06,LAC,89,PHX,106
2022-01-07,SAS,100,PHI,119
2022-01-07,MIL,121,BKN,109
2022-01-07,UTA,108,TOR,122
2022-01-07,WAS,122,CHI,130
2022-01-07,DAL,130,HOU,106
2022-01-07,MIN,135,OKC,105
2022-01-07,SAC,111,DEN,121
2022-01-07,ATL,118,LAL,134
2022-01-07,CLE,114,POR,101
2022-01-08,MEM,123,LAC,108
2022-01-08,MIL,106,CHA,114
2022-01-08,ORL,92,DET,97
2022-01-08,UTA,113,IND,125
2022-01-08,NYK,75,BOS,99
2022-01-08,MIA,123,PHX,100
2022-01-09,SAS,119,BKN,121
2022-01-09,ATL,93,LAC,106
2022-01-09,WAS,102,ORL,100
2022-01-09,NOP,101,TOR,105
2022-01-09,MIN,141,HOU,123
2022-01-09,DEN,99,OKC,95
2022-01-09,CHI,99,DAL,113
2022-01-09,CLE,82,GSW,96
2022-01-09,SAC,88,POR,103
2022-01-09,MEM,127,LAL,119
2022-01-10,MIL,99,CHA,103
2022-01-10,UTA,116,DET,126
2022-01-10,IND,98,BOS,101
2022-01-10,SAS,96,NYK,111
2022-01-10,PHI,111,HOU,91
2022-01-10,BKN,108,POR,114
2022-01-10,CLE,109,SAC,108
2022-01-11,OKC,118,WAS,122
2022-01-11,PHX,99,TOR,95
2022-01-11,DET,87,CHI,133
2022-01-11,GSW,108,MEM,116
2022-01-11,MIN,125,NOP,128
2022-01-11,DEN,85,LAC,87
2022-01-12,BOS,119,IND,100
2022-01-12,CHA,109,PHI,98
2022-01-12,ORL,106,WAS,112
2022-01-12,MIA,115,ATL,91
2022-01-12,DAL,85,NYK,108
2022-01-12,HOU,128,SAS,124
2022-01-12,CLE,111,UTA,91
2022-01-12,BKN,138,CHI,112
2022-01-12,LAL,116,SAC,125
2022-01-13,GSW,99,MIL,118
2022-01-13,MIN,108,MEM,116
2022-01-13,LAC,89,NOP,113
2022-01-13,OKC,130,BKN,109
2022-01-13,POR,108,DEN,140
2022-01-14,ORL,116,CHA,109
2022-01-14,TOR,87,DET,103
2022-01-14,PHX,112,IND,94
2022-01-14,BOS,99,PHI,111
2022-01-14,GSW,138,CHI,96
2022-01-14,ATL,118,MIA,124
2022-01-14,CLE,114,SAS,109
2022-01-14,DAL,112,MEM,85
2022-01-14,HOU,114,SAC,126
2022-01-15,TOR,103,MIL,96
2022-01-15,POR,115,WAS,110
2022-01-15,NYK,117,ATL,108
2022-01-15,NOP,105,BKN,120
2022-01-15,PHI,109,MIA,98
2022-01-15,CLE,107,OKC,102
2022-01-15,CHI,112,BOS,114
2022-01-15,LAC,94,SAS,101
2022-01-15,LAL,96,DEN,133
2022-01-15,ORL,92,DAL,108
2022-01-16,PHX,135,DET,108
2022-01-16,HOU,118,SAC,112
2022-01-16,UTA,125,DEN,102
2022-01-16,GSW,99,MIN,119
2022-01-17,NOP,92,BOS,104
2022-01-17,CHA,97,NYK,87
2022-01-17,PHI,98,WAS,117
2022-01-17,BKN,107,CLE,114
2022-01-17,IND,133,LAC,139
2022-01-17,CHI,106,MEM,119
2022-01-17,MIL,114,ATL,121
2022-01-17,POR,98,ORL,88
2022-01-17,TOR,99,MIA,104
2022-01-17,OKC,102,DAL,104
2022-01-17,PHX,121,SAS,107
2022-01-17,UTA,95,LAL,101
2022-01-18,MIN,112,NYK,110
2022-01-18,DET,86,GSW,102
2022-01-19,ORL,110,PHI,123
2022-01-19,BKN,119,WAS,118
2022-01-19,MIN,122,ATL,134
2022-01-19,CHA,111,BOS,102
2022-01-19,POR,92,MIA,104
2022-01-19,CLE,104,CHI,117
2022-01-19,MEM,114,MIL,126
2022-01-19,TOR,98,DAL,102
2022-01-19,OKC,96,SAS,118
2022-01-19,HOU,116,UTA,111
2022-01-19,LAC,128,DEN,130
2022-01-19,DET,133,SAC,131
2022-01-19,IND,111,LAL,104
2022-01-20,PHX,109,DAL,101
2022-01-20,NOP,102,NYK,91
2022-01-20,IND,121,GSW,117
2022-01-21,OKC,98,CHA,121
2022-01-21,LAL,116,ORL,105
2022-01-21,LAC,102,PHI,101
2022-01-21,MIA,108,ATL,110
2022-01-21,POR,109,BOS,105
2022-01-21,CHI,90,MIL,94
2022-01-21,TOR,109,WAS,105
2022-01-21,BKN,117,SAS,102
2022-01-21,MEM,122,DEN,118
2022-01-21,DET,101,UTA,111
2022-01-21,HOU,103,GSW,105
2022-01-22,SAC,127,MIL,133
2022-01-22,OKC,87,CLE,94
2022-01-22,IND,103,PHX,113
2022-01-23,LAC,102,NYK,110
2022-01-23,BOS,116,WAS,87
2022-01-23,LAL,107,MIA,113
2022-01-23,CHI,95,ORL,114
2022-01-23,POR,114,TOR,105
2022-01-23,ATL,113,CHA,91
2022-01-23,PHI,115,SAS,109
2022-01-23,MEM,91,DAL,104
2022-01-23,DET,111,DEN,117
2022-01-23,BKN,125,MIN,136
2022-01-23,UTA,92,GSW,94
2022-01-24,NYK,93,CLE,95
2022-01-24,IND,113,NOP,117
2022-01-24,CHI,111,OKC,110
2022-01-24,UTA,109,PHX,115
2022-01-25,DEN,110,DET,105
2022-01-25,NOP,107,PHI,117
2022-01-25,CHA,113,TOR,125
2022-01-25,LAC,116,WAS,115
2022-01-25,SAC,75,BOS,128
2022-01-25,LAL,106,BKN,96
2022-01-25,SAS,134,HOU,104
2022-01-25,DAL,92,GSW,130
2022-01-25,MIN,109,POR,107
2022-01-26,MIL,99,CLE,115
2022-01-26,CHA,158,IND,126
2022-01-26,LAC,111,ORL,102
2022-01-26,SAC,104,ATL,121
2022-01-26,NYK,96,MIA,110
2022-01-26,DEN,124,BKN,118
2022-01-26,TOR,105,CHI,111
2022-01-26,MEM,118,SAS,110
2022-01-26,DAL,132,POR,112
2022-01-26,PHX,105,UTA,97
2022-01-27,LAL,87,PHI,105
2022-01-27,MIN,115,GSW,124
2022-01-28,DET,103,ORL,119
2022-01-28,BOS,92,ATL,108
2022-01-28,LAL,114,CHA,117
2022-01-28,POR,125,HOU,110
2022-01-28,UTA,109,MEM,119
2022-01-28,LAC,114,MIA,121
2022-01-28,DEN,116,NOP,105
2022-01-28,IND,113,OKC,110
2022-01-28,CHI,122,SAS,131
2022-01-28,MIN,124,PHX,134
2022-01-28,NYK,108,MIL,123
2022-01-29,IND,105,DAL,132
2022-01-29,BOS,107,NOP,97
2022-01-29,SAC,101,PHI,103
